part,condition,model,acc_mean,acc_std,ece_mean,lat_mean,depth,n_seeds
corr,snow_s3,undefended_vgg,0.73,,0.22065854102373123,0.006210856437683106,,1
corr,snow_s5,cardnet,0.24666666666666667,0.011547005383792528,0.09483130487302938,0.7941589315732319,140.03999837239584,3
corr,snow_s5,pgd_at,0.28,0.017320508075688752,0.1434694682061672,0.0014114061991373696,,3
corr,snow_s5,rand_smooth,0.24333333333333332,0.015275252316519472,0.1341591340303421,0.01959561586380005,,3
corr,snow_s5,trades,0.1366666666666667,0.015275252316519482,0.2194066580136617,0.0007586256663004556,,3
corr,snow_s5,undefended,0.4533333333333333,0.03214550253664316,0.40060819456974667,0.0010025405883789063,,3
corr,snow_s5,undefended_vgg,0.52,0.040000000000000036,0.4158041276534399,0.0039279349644978844,,3
corr,zoom_blur_s3,cardnet,0.53,,0.3633484363555909,0.8104894733428956,110.5999984741211,1
corr,zoom_blur_s3,pgd_at,0.64,,0.20016869664192197,0.0013809823989868165,,1
corr,zoom_blur_s3,rand_smooth,0.54,,0.16951207593083384,0.02226450204849243,,1
corr,zoom_blur_s3,trades,0.4,,0.13034786745905877,0.0008238029479980469,,1
corr,zoom_blur_s3,undefended,0.54,,0.31651484221220016,0.0009870123863220215,,1
corr,zoom_blur_s3,undefended_vgg,0.67,,0.2825595209002495,0.0037753605842590333,,1
corr,zoom_blur_s5,cardnet,0.5499999999999999,0.017320508075688724,0.3910398654639721,0.882389174302419,125.48000081380208,3
